_id,price,status,name,thank_you_message,created_at,last_update_at,method,did_swap,city
6761864e3ca32060a86048e2,$14.92,DELIVERED,Kris Stanley,"Tempor mollit duis velit dolor duis consectetur nulla quis in amet. Esse eiusmod eu elit nostrud do nulla irure adipisicing Lorem irure ad elit exercitation. Et velit ea ullamco aute consectetur eu nisi.
",2024-01-18T10:43:43,2023-03-13T11:56:03,EMAIL,FALSE,Enschede
6761864ee63c7369a2e0dc50,$54.39,ACCEPTED,Marquez Daugherty,,2024-10-04T10:23:54,2016-12-21T05:14:18,EMAIL,TRUE,Amersfoort
6761864e4f7ce0ac1e651116,$30.48,DELIVERED,Holmes Mcpherson,,2024-11-13T10:43:05,2014-08-21T04:03:33,EMAIL,TRUE,Leiden
6761864ef4b55a02661643db,$12.09,CANCELLED,Isabelle Rodriquez,,2024-07-02T03:24:45,2022-10-06T02:28:19,EMAIL,FALSE,Amsterdam
6761864edea21a227666f2f0,$14.08,EXPIRED,Pratt Berry,"Ut aute reprehenderit aute incididunt anim et cupidatat ut culpa sunt enim exercitation aliqua velit. Culpa sit sunt commodo dolor veniam officia commodo dolor ipsum pariatur. Consequat consequat proident aliquip id ut aute ipsum. Excepteur aliquip in dolore ut veniam consectetur labore non minim Lorem incididunt pariatur.
",2024-06-13T05:34:55,2018-02-05T08:45:37,LINK,FALSE,Amersfoort
6761864e2260f32035adb341,$10.94,CREATED,Teresa Farley,,2024-10-03T03:46:58,2021-02-19T05:27:17,LINK,FALSE,Rotterdam
6761864ea965ecf7b6cc8cb6,$24.25,EXPIRED,Paige Gillespie,,2024-05-18T06:23:13,2014-08-01T03:26:31,EMAIL,TRUE,Delft
6761864efc41f69b78de392c,$31.21,ACCEPTED,Alexandra Battle,"Ullamco labore in esse ex officia nulla. Qui amet amet laborum laboris amet officia occaecat excepteur anim irure culpa. Eu minim qui incididunt deserunt velit excepteur proident aliqua. Ut excepteur nulla ipsum exercitation eiusmod commodo ipsum reprehenderit. In Lorem adipisicing aute minim incididunt magna culpa ipsum.
",2024-11-26T11:27:47,2015-03-14T10:56:25,EMAIL,FALSE,Enschede
6761864e4b39a8e54d87bfee,$55.71,DELIVERED,Davidson Chavez,"Ipsum adipisicing quis dolor mollit. Labore velit cupidatat et sit ad aliquip consequat exercitation laboris aliqua exercitation ullamco nostrud laboris. Irure minim occaecat qui veniam laboris sunt occaecat pariatur ipsum. Ipsum velit esse sint et do excepteur ea velit est duis cupidatat deserunt dolor. Irure non commodo minim duis ea ad cillum. In esse ullamco ipsum dolore adipisicing.
",2024-01-06T11:12:57,2018-02-04T03:05:34,EMAIL,FALSE,Amersfoort
6761864eeeafe8c7a221cb2c,$16.34,CANCELLED,Grimes Andrews,"Amet consectetur enim adipisicing irure nostrud et et eu consectetur excepteur nostrud ex. Ullamco ipsum sit veniam elit. Enim do aute est ut. Laboris sint irure sunt mollit ex anim officia fugiat commodo cupidatat eiusmod do.
",2024-06-19T09:51:27,2016-02-19T04:11:17,LINK,TRUE,Rotterdam
